,Identifier,Title,Author,Contributors,Publisher,PublicationYear,ISBN,ISSN,Subjects,Description,Language,PhysicalDescription,Series,Notes,RecordType,ContentType,MediaType,CarrierType
Identifier,937364,937364,614557,336574,833994,830356,335594,91152,554790,175555,901168,885261,256258,626856,937333,183918,176836,183920
Title,937364,937364,614557,336574,833994,830356,335594,91152,554790,175555,901168,885261,256258,626856,937333,183918,176836,183920
Author,614557,614557,614557,253801,547039,543936,276912,774,393768,154755,584688,595450,217774,454144,614533,132511,129246,132511
Contributors,336574,336574,253801,336574,317166,315490,162960,2850,234202,79174,317621,331468,118833,264250,336559,90534,88665,90534
Publisher,833994,833994,547039,317166,833994,830210,323293,90802,480881,164737,797801,830405,255852,567131,833965,135073,129239,135074
PublicationYear,830356,830356,543936,315490,830210,830356,323234,90657,477335,164721,794163,826964,254287,566642,830328,135162,129323,135163
ISBN,335594,335594,276912,162960,323293,323234,335594,1571,215863,110045,323306,323439,114796,273647,335576,89388,89053,89389
ISSN,91152,91152,774,2850,90802,90657,1571,91152,48426,6068,90840,89491,917,49087,91151,4771,4769,4771
Subjects,554790,554790,393768,234202,480881,477335,215863,48426,554790,113372,527486,530244,147006,431715,554769,158054,156428,158053
Description,175555,175555,154755,79174,164737,164721,110045,6068,113372,175555,171049,171511,68973,175555,175543,49804,49773,49804
Language,901168,901168,584688,317621,797801,794163,323306,90840,527486,171049,901168,849124,239510,590689,901137,177981,170936,177983
PhysicalDescription,885261,885261,595450,331468,830405,826964,323439,89491,530244,171511,849124,885261,255921,609477,885233,159517,153651,159518
Series,256258,256258,217774,118833,255852,254287,114796,917,147006,68973,239510,255921,256258,197164,256243,38431,37274,38431
Notes,626856,626856,454144,264250,567131,566642,273647,49087,431715,175555,590689,609477,197164,626856,626834,148992,146951,148992
RecordType,937333,937333,614533,336559,833965,830328,335576,91151,554769,175543,901137,885233,256243,626834,937333,183914,176832,183916
ContentType,183918,183918,132511,90534,135073,135162,89388,4771,158054,49804,177981,159517,38431,148992,183914,183918,176834,183916
MediaType,176836,176836,129246,88665,129239,129323,89053,4769,156428,49773,170936,153651,37274,146951,176832,176834,176836,176834
CarrierType,183920,183920,132511,90534,135074,135163,89389,4771,158053,49804,177983,159518,38431,148992,183916,183916,176834,183920
