Field,Non-null Count,Percentage,Null Count
Identifier,937364,100.0,0
Title,937364,100.0,0
Author,614557,65.56225756483074,322807
Contributors,336574,35.9064354935756,600790
Publisher,833994,88.97226691018643,103370
PublicationYear,830356,88.58415727508205,107008
ISBN,335594,35.80188699373989,601770
ISSN,91152,9.724290670433257,846212
Subjects,554790,59.186185942707425,382574
Description,175555,18.728583559855082,761809
Language,901168,96.13853316321088,36196
PhysicalDescription,885261,94.44154031944902,52103
Series,256258,27.33815252132576,681106
Notes,626856,66.8743412377689,310508
RecordType,937333,99.99669285357663,31
ContentType,183918,19.62076631916737,753446
MediaType,176836,18.865243384640333,760528
CarrierType,183920,19.620979683452745,753444
